Date,Wordle.Puzzle,Wordle.Answer,guess.1,guess.2,guess.3,guess.4,guess.5,guess.6,guess.x,Average.guess,ScrabbleScore,CV_Ratio,UniqueLetters,Positional_Score,Bigram,Trigram
"February 23, 2022",249,TROVE,0,5,16,24,25,22,8,4.67,8,0.666666667,5,1.1,1,1
"February 22, 2022",248,THORN,1,14,38,30,12,5,0,3.53,8,0.25,5,0.4,1,0
"February 21, 2022",247,OTHER,1,9,26,30,21,11,2,4.02,8,0.666666667,5,0.2,1,0
"February 20, 2022",246,TACIT,0,4,21,32,26,14,3,4.34,7,0.666666667,4,0.55,0,0
"February 19, 2022",245,SWILL,1,1,8,19,31,30,10,5.08,8,0.25,4,0.4,0,0
"February 18, 2022",244,DODGE,0,3,15,29,27,19,7,4.65,8,0.666666667,4,0.65,0,0
"February 17, 2022",243,SHAKE,1,6,16,23,24,21,9,4.62,12,0.666666667,5,1.15,0,1
"February 16, 2022",242,CAULK,1,4,20,31,26,15,3,4.34,11,0.666666667,5,0.25,0,0
"February 15, 2022",241,AROMA,1,6,25,33,22,11,2,4.1,7,1.5,4,0.7,1,0
"February 14, 2022",240,CYNIC,0,2,11,33,34,17,3,4.62,12,0.25,4,0.15,0,0
"February 13, 2022",239,ROBIN,1,6,29,34,21,8,1,3.96,7,0.666666667,5,0.25,1,0
"February 12, 2022",238,ULTRA,1,7,23,34,24,10,1,4.07,5,0.666666667,5,0.2,1,0
"February 11, 2022",237,ULCER,1,4,18,30,28,16,3,4.4,7,0.666666667,5,0.15,1,0
"February 10, 2022",236,PAUSE,1,8,26,32,21,10,2,4.02,7,1.5,5,0.9,0,0
"February 09, 2022",235,HUMOR,1,5,22,34,25,11,2,4.18,10,0.666666667,5,0.15,1,0
"February 08, 2022",234,FRAME,1,10,20,24,24,18,3,4.26,10,0.666666667,5,1.35,1,0
"February 07, 2022",233,ELDER,1,3,13,24,30,24,5,4.71,6,0.666666667,4,0.2,1,0
"February 06, 2022",232,SKILL,1,3,17,33,27,16,3,4.42,9,0.25,4,0.4,0,0
"February 05, 2022",231,ALOFT,0,4,22,36,25,11,2,4.23,8,0.666666667,5,0.55,1,0
"February 04, 2022",230,PLEAT,1,10,28,31,19,9,2,3.92,7,0.666666667,5,0.55,1,1
"February 03, 2022",229,SHARD,0,7,22,28,25,14,4,4.29,9,0.25,5,0.8,1,1
"February 02, 2022",228,MOIST,0,13,32,29,16,9,1,3.79,7,0.666666667,5,0.65,1,0
"February 01, 2022",227,THOSE,1,13,34,30,15,6,1,3.67,8,0.666666667,5,0.95,0,0
"January 31, 2022",226,LIGHT,1,10,25,27,19,13,5,4.12,9,0.25,5,0.3,0,0
"January 30, 2022",225,WRUNG,0,2,18,39,27,12,2,4.35,9,0.25,5,0.5,0,0
"January 29, 2022",224,COULD,0,7,29,35,20,8,1,3.96,8,0.666666667,5,0.2,0,0
"January 28, 2022",223,PERKY,1,4,17,30,27,17,4,4.45,14,0.25,5,0.15,1,0
"January 27, 2022",222,MOUNT,1,9,29,33,19,8,1,3.88,7,0.666666667,5,0.35,0,0
"January 26, 2022",221,WHACK,1,4,22,37,24,10,2,4.17,17,0.25,5,0.5,0,0
"January 25, 2022",220,SUGAR,1,6,25,34,23,10,1,4.06,6,0.666666667,5,0.4,1,0
"January 24, 2022",219,KNOLL,1,1,11,29,33,21,4,4.71,9,0.25,4,0.1,0,0
"January 23, 2022",218,CRIMP,1,5,28,38,20,7,1,3.96,11,0.25,5,0.6,0,0
"January 22, 2022",217,WINCE,0,3,17,33,29,15,3,4.45,10,0.666666667,5,0.6,1,0
"January 20, 2022",215,ROBOT,0,8,29,34,20,8,1,3.94,7,0.666666667,4,0.3,1,0
"January 17, 2022",212,SHIRE,0,8,32,32,18,8,2,3.92,8,0.666666667,5,1,1,0
"January 15, 2022",210,PANIC,0,9,35,34,16,5,1,3.76,9,0.666666667,5,0.2,1,0
"January 14, 2022",209,TANGY,1,4,21,30,24,15,5,4.37,9,0.25,5,0.25,1,0
"January 13, 2022",208,ABBEY,1,2,13,29,31,21,3,4.62,12,0.666666667,4,0.35,0,0
"January 12, 2022",207,FAVOR,1,4,15,26,29,21,4,4.57,11,0.666666667,5,0.1,1,0
"January 11, 2022",206,DRINK,1,9,34,34,16,5,1,3.74,10,0.25,5,0.65,1,0
"January 10, 2022",205,QUERY,1,4,16,30,30,17,2,4.43,17,0.666666667,5,0.35,1,0
"January 09, 2022",204,GORGE,1,3,13,27,30,22,4,4.64,7,0.666666667,4,0.6,1,0
"September 16, 2022",454,PARER,0,0,4,11,15,22,48,5.99,7,0.666666667,4,0.2,1,0
"June 01, 2023",712,JAZZY,0,1,3,9,27,44,16,5.58,33,0.25,4,0.1,0,0
"April 18, 2023",668,HOUND,0,6,22,21,14,16,21,4.75,9,0.666666667,5,0.25,0,0
"December 26, 2022",555,JUDGE,0,3,8,16,26,33,14,5.2,14,0.666666667,5,0.6,0,0
"February 22, 2023",613,RIPER,0,1,8,21,25,26,19,5.24,7,0.666666667,4,0.2,1,0
"October 23, 2022",491,MUMMY,0,1,4,13,27,37,18,5.49,14,0.25,3,0.05,0,0
"March 10, 2023",629,REVEL,0,1,11,30,35,18,5,4.73,8,0.666666667,4,0.3,1,0
"December 06, 2023",900,WOMAN,0,3,23,44,24,5,1,4.08,10,0.666666667,5,0.25,1,0
"December 05, 2023",899,YOUNG,0,3,25,47,19,5,1,4.01,9,0.666666667,5,0.15,0,0
"December 04, 2023",898,WORST,0,4,33,42,17,3,1,3.85,8,0.25,5,0.5,1,0
"December 03, 2023",897,ADAPT,0,4,36,41,15,3,1,3.8,8,0.666666667,4,0.95,0,0
"December 02, 2023",896,GENRE,0,2,18,41,28,9,2,4.3,6,0.666666667,4,0.85,1,0
"December 01, 2023",895,TAKEN,0,5,26,40,22,6,1,4.01,9,0.666666667,5,0.4,0,0
"November 30, 2023",894,RESIN,0,7,39,36,14,3,1,3.7,5,0.666666667,5,0.4,1,0
"November 29, 2023",893,SUSHI,0,1,18,47,27,5,2,4.23,8,0.666666667,4,0.3,0,0
"November 28, 2023",892,SCOPE,0,4,30,41,20,4,1,3.93,9,0.666666667,5,0.75,0,0
"November 27, 2023",891,TAWNY,0,2,19,36,24,11,8,4.47,11,0.25,5,0.3,0,0
"November 26, 2023",890,SOLID,0,7,47,35,9,1,1,3.53,6,0.666666667,5,0.4,0,0
"November 25, 2023",889,GUIDE,0,10,22,41,21,5,1,3.92,7,1.5,5,0.75,0,1
"November 24, 2023",888,THROW,0,6,32,44,15,2,1,3.78,11,0.25,5,0.15,1,0
"November 23, 2023",887,QUEEN,0,4,25,42,22,5,2,4.05,14,1.5,4,0.35,0,0
"November 22, 2023",886,PIXEL,0,1,15,40,32,10,2,4.41,14,0.666666667,5,0.15,0,0
"November 21, 2023",885,PIANO,1,7,45,34,10,2,1,3.55,7,1.5,5,0.6,1,0
"November 20, 2023",884,CANDY,0,5,26,39,22,7,1,4.03,11,0.25,5,0.15,1,0
"November 19, 2023",883,QUEUE,0,1,12,36,32,14,5,4.61,14,4,3,0.7,0,0
"November 18, 2023",882,THINK,0,9,40,38,11,1,1,3.58,12,0.25,5,0.35,1,0
"November 17, 2023",881,TARDY,0,6,34,36,17,5,2,3.87,9,0.25,5,0.25,1,0
"November 16, 2023",880,TRUST,0,7,36,38,15,3,1,3.74,5,0.25,4,1.05,1,0
"November 15, 2023",879,SIGHT,0,4,25,38,21,8,4,4.16,9,0.25,5,0.45,0,0
"November 14, 2023",878,SASSY,0,1,8,22,27,25,17,5.18,8,0.25,3,0.6,0,0
"November 13, 2023",877,GREEN,0,5,28,40,21,5,1,3.96,6,0.666666667,4,0.75,1,0
"November 12, 2023",876,MEANT,0,7,33,39,17,3,1,3.79,7,0.666666667,5,0.85,1,0
"November 11, 2023",875,ACTOR,0,6,31,41,17,4,1,3.85,7,0.666666667,5,0.25,1,0
"November 10, 2023",874,LEASH,0,12,39,31,13,4,1,3.61,8,0.666666667,5,0.9,1,1
"November 09, 2023",873,GLAZE,0,2,9,20,33,27,9,5.01,15,0.666666667,5,1.05,1,0
"November 08, 2023",872,NINJA,0,1,6,29,35,21,8,4.93,12,0.666666667,4,0.05,1,0
"November 07, 2023",871,LIMIT,0,2,27,46,20,4,1,4,7,0.666666667,4,0.4,0,0
"November 06, 2023",870,TRADE,1,16,42,28,10,2,1,3.4,6,0.666666667,5,1.5,1,0
"November 05, 2023",869,FLARE,0,8,25,33,23,9,2,4.06,8,0.666666667,5,1.15,1,0
"November 04, 2023",868,MANIA,0,1,15,37,31,13,3,4.49,7,1.5,4,0.2,1,0
"November 03, 2023",867,ARDOR,0,6,21,29,26,14,4,4.33,6,0.666666667,4,0.7,1,0
"November 02, 2023",866,UNTIL,0,5,31,42,17,4,1,3.87,5,0.666666667,5,0.1,0,0
"November 01, 2023",865,NOISE,1,7,37,34,16,4,1,3.73,5,1.5,5,0.95,0,0
"October 31, 2023",864,BLEAK,0,4,22,37,28,8,1,4.17,11,0.666666667,5,0.35,1,1
"October 30, 2023",863,GRAIL,0,3,22,36,28,9,2,4.24,6,0.666666667,5,1,1,0
"October 29, 2023",862,PHONY,0,2,34,46,15,2,1,3.84,13,0.25,5,0.1,0,0
"October 28, 2023",861,MASON,0,3,31,40,20,5,1,3.96,7,0.666666667,5,0.2,0,0
"October 27, 2023",860,NOBLE,0,4,25,38,22,9,2,4.13,7,0.666666667,5,0.6,1,0
"October 26, 2023",859,PIQUE,0,2,17,38,29,11,3,4.39,16,1.5,5,0.55,0,0
"October 25, 2023",858,RETRY,0,2,17,42,29,8,2,4.3,8,0.25,4,0.35,1,0
"October 24, 2023",857,CAUSE,0,6,30,37,19,6,2,3.95,7,1.5,5,0.95,0,0
"October 23, 2023",856,TEMPO,0,3,27,43,21,5,1,4.01,9,0.666666667,5,0.35,1,0
"October 22, 2023",855,GIVEN,0,2,18,37,29,12,2,4.37,9,0.666666667,5,0.25,0,0
"October 21, 2023",854,SMIRK,0,3,24,45,23,4,1,4.04,11,0.25,5,0.5,0,0
"October 20, 2023",853,OCCUR,0,3,20,46,24,5,2,4.14,9,0.666666667,4,0,0,0
"October 19, 2023",852,SPLAT,0,7,31,41,17,3,1,3.81,7,0.25,5,0.6,1,0
"October 18, 2023",851,MERCY,0,3,18,40,26,10,3,4.31,12,0.25,5,0.2,1,0
"October 17, 2023",850,ADULT,0,12,28,40,16,3,1,3.73,6,0.666666667,5,0.6,0,0
"October 16, 2023",849,GRAPH,0,3,23,38,24,10,2,4.21,11,0.25,5,0.9,1,0
"October 15, 2023",848,LEAKY,0,2,15,34,30,15,4,4.53,12,0.666666667,5,0.65,1,1
"October 14, 2023",847,AGENT,0,6,34,38,16,5,1,3.83,6,0.666666667,5,0.65,0,0
"October 13, 2023",846,UNCLE,0,3,30,46,17,3,1,3.9,7,0.666666667,5,0.55,1,0
"October 12, 2023",845,KNELT,0,3,25,40,23,7,2,4.12,9,0.25,5,0.4,0,0
"October 11, 2023",844,SKUNK,0,1,14,42,32,9,2,4.4,13,0.25,4,0.3,0,0
"October 10, 2023",843,SNAIL,0,9,43,34,11,2,1,3.57,5,0.666666667,5,0.75,0,0
"October 09, 2023",842,TRUTH,0,5,34,37,17,6,1,3.88,8,0.25,4,0.7,0,0
"October 08, 2023",841,BINGE,0,2,19,39,27,11,2,4.32,8,0.666666667,5,0.55,1,1
"October 07, 2023",840,VIOLA,0,3,17,35,32,11,2,4.37,8,1.5,5,0.15,1,0
"October 06, 2023",839,CHIME,0,9,39,36,13,2,1,3.63,12,0.666666667,5,0.7,1,0
"October 05, 2023",838,BUNCH,0,2,16,36,28,14,4,4.48,12,0.25,5,0.1,1,0
"October 04, 2023",837,SPURT,0,4,41,44,9,1,1,3.65,7,0.25,5,0.6,0,0
"October 03, 2023",836,WHILE,0,5,29,43,18,4,1,3.9,11,0.666666667,5,0.7,1,0
"October 02, 2023",835,MERRY,0,2,16,34,30,14,4,4.5,10,0.25,4,0.3,1,0
"October 01, 2023",834,BERET,0,2,20,44,27,6,1,4.18,7,0.666666667,4,0.45,1,0
"September 30, 2023",833,DADDY,0,1,6,24,34,23,12,5.08,11,0.25,3,0.2,0,0
"September 29, 2023",832,AZURE,0,3,17,34,28,14,4,4.45,14,1.5,5,0.95,1,0
"September 28, 2023",831,COACH,0,3,30,44,18,4,1,3.93,12,0.666666667,4,0.6,1,0
"September 27, 2023",830,SMILE,0,9,30,37,19,4,1,3.82,7,0.666666667,5,0.9,1,0
"September 26, 2023",829,LOYAL,0,1,16,40,31,10,2,4.39,8,0.666666667,4,0.25,1,0
"September 25, 2023",828,ROCKY,0,3,33,43,16,4,1,3.88,14,0.25,5,0.1,1,0
"September 24, 2023",827,RIGHT,0,10,34,34,14,5,3,3.79,9,0.25,5,0.3,0,0
"September 23, 2023",826,CAROL,0,3,26,41,23,6,1,4.06,7,0.666666667,5,0.15,1,0
"September 22, 2023",825,BRUSH,0,5,36,43,14,1,1,3.73,10,0.25,5,0.7,0,0
"September 21, 2023",824,STONE,0,16,38,27,14,4,1,3.55,5,0.666666667,5,0.9,1,1
"September 20, 2023",823,SNARE,0,7,20,28,26,14,5,4.35,5,0.666666667,5,1.3,1,0
"September 19, 2023",822,CLOSE,0,14,41,32,10,2,1,3.48,7,0.666666667,5,0.9,0,0
"September 18, 2023",821,FRANK,0,2,13,32,37,14,2,4.54,12,0.25,5,0.9,1,0
"September 17, 2023",820,MUSIC,0,5,33,45,14,2,1,3.78,9,0.666666667,5,0.2,0,0
"September 16, 2023",819,ANGEL,0,4,24,41,23,7,1,4.08,6,0.666666667,5,0.35,1,0
"September 15, 2023",818,EXERT,0,2,14,36,31,14,3,4.5,12,0.666666667,4,0.5,1,0
"September 14, 2023",817,RAYON,0,2,21,38,26,11,2,4.29,8,0.666666667,5,0.2,1,0
"September 13, 2023",816,CLEAR,0,12,37,35,13,2,1,3.59,7,0.666666667,5,0.4,1,1
"September 12, 2023",815,WHISK,0,3,28,44,19,5,1,3.98,15,0.25,5,0.4,0,0
"September 11, 2023",814,OLDER,0,2,22,37,26,10,3,4.29,6,0.666666667,5,0.2,1,0
"September 10, 2023",813,QUOTE,0,7,35,36,16,5,1,3.8,14,1.5,5,0.7,1,0
"September 09, 2023",812,LUCKY,0,3,30,47,15,4,1,3.9,14,0.25,5,0.1,0,0
"September 08, 2023",811,ROUSE,0,9,28,35,19,7,2,3.93,5,1.5,5,0.9,1,0
"September 07, 2023",810,DWELL,0,2,14,43,31,8,2,4.35,9,0.25,4,0.25,0,0
"September 06, 2023",809,GNASH,0,2,16,31,27,16,8,4.63,9,0.25,5,0.75,0,0
"September 05, 2023",808,BIRCH,0,4,34,44,14,3,1,3.81,12,0.25,5,0.1,1,0
"September 04, 2023",807,GIDDY,0,1,17,40,28,11,3,4.4,11,0.25,4,0.15,0,0
"September 03, 2023",806,AWAIT,0,2,23,42,23,8,2,4.18,8,1.5,4,1,0,0
"September 02, 2023",805,ONION,0,3,25,40,23,7,2,4.12,5,1.5,3,0.2,0,0
"September 01, 2023",804,SPACE,0,8,35,36,16,4,1,3.76,9,0.666666667,5,1.2,0,0
"August 31, 2023",803,BRIDE,0,6,26,38,23,6,1,4,8,0.666666667,5,1.05,0,1
"August 30, 2023",802,AUDIO,5,11,24,33,19,6,2,3.76,6,4,5,0.5,0,0
"August 29, 2023",801,CAPER,0,4,23,34,22,12,5,4.3,9,0.666666667,5,0.25,1,0
"August 28, 2023",800,WRITE,0,9,35,34,16,5,1,3.76,8,0.666666667,5,1.15,1,0
"August 27, 2023",799,PEACE,0,4,30,41,19,5,1,3.94,9,1.5,4,1.15,1,0
"August 26, 2023",798,CHOIR,0,9,44,36,9,1,1,3.52,10,0.666666667,5,0.2,1,0
"August 25, 2023",797,OCEAN,1,5,30,40,19,4,1,3.87,7,1.5,5,0.35,1,0
"August 24, 2023",796,WORDY,0,2,17,41,29,9,2,4.32,12,0.25,5,0.05,1,0
"August 23, 2023",795,VERVE,0,0,3,15,37,31,14,5.38,11,0.666666667,3,0.65,1,1
"August 22, 2023",794,SPICE,0,5,25,32,24,11,3,4.2,9,0.666666667,5,0.9,0,0
"August 21, 2023",793,BEACH,1,8,31,38,18,3,1,3.77,12,0.666666667,5,0.65,1,0
"August 20, 2023",792,QUEST,0,5,25,37,24,7,2,4.09,14,0.666666667,5,0.65,1,0
"August 19, 2023",791,MAGMA,0,1,3,21,43,25,7,5.09,10,0.666666667,3,0.1,0,0
"August 18, 2023",790,EXACT,0,4,25,41,23,6,1,4.05,14,0.666666667,5,0.7,0,0
